Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 6.623 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 2.129 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 76.197 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 45.462 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 4353.864 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 4313.224 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Short, Time: 4.353 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Long, Time: 3.855 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 26.607 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 27.754 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 4122.925 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 4299.081 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Short, Time: 5.414 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.816 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Short, Time: 80.717 ms
Sorter: BubbleSortUntilNoChange, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Long, Time: 73.076 ms
